topic,term,beta
1,amazon,0.04146086597030638
1,customer,0.027182681794861
1,service,0.0237211568969516
1,refund,0.017553121236609154
1,told,0.015042895314784427
1,item,0.013735511189263402
1,card,0.012861736894287682
1,time,0.010983292716780406
1,account,0.01066005248753326
1,call,0.009786249270777515
2,delivery,0.04379753766672922
2,amazon,0.03822652258472545
2,delivered,0.024918681707068086
2,day,0.016925455781680834
2,package,0.015806625592372968
2,time,0.015369763129381682
2,deliver,0.01019903319613536
2,driver,0.009587117982491766
2,service,0.009434461650645204
2,items,0.009211803939230873
3,amazon,0.06083669201765566
3,prime,0.023065367081825397
3,service,0.01805986636572456
3,customer,0.015073353522634952
3,shipping,0.01229077272645277
3,products,0.011348061484940877
3,reviews,0.0105411238131505
3,product,0.010373348698293037
3,delivery,0.009619958665414282
3,free,0.00921324129329452
4,amazon,0.06780598128308808
4,account,0.023582878265959912
4,customer,0.016900746221510533
4,service,0.014685229157820667
4,return,0.014124938318676237
4,money,0.01188040490847193
4,seller,0.00983186953289065
4,company,0.00905475646433625
4,don,0.0071945189996942
4,items,0.0068164392469165155
